"year","variable","value"
1990,"Observed",1
1991,"Observed",0
1992,"Observed",0
1993,"Observed",1
1994,"Observed",1
1995,"Observed",2
1996,"Observed",3
1997,"Observed",1
1998,"Observed",3
1999,"Observed",3
2000,"Observed",1
2001,"Observed",5
2002,"Observed",5
2003,"Observed",5
2004,"Observed",5
2005,"Observed",0
2006,"Observed",2
2007,"Observed",6
2008,"Observed",10
2009,"Observed",17
2010,"Observed",23
2011,"Observed",24
2012,"Observed",32
2013,"Observed",69
2014,"Observed",142
2015,"Observed",197
2016,"Observed",331
2017,"Observed",138
1990,"Predicted",0
1991,"Predicted",0
1992,"Predicted",0
1993,"Predicted",0
1994,"Predicted",0
1995,"Predicted",0
1996,"Predicted",0
1997,"Predicted",0
1998,"Predicted",0
1999,"Predicted",0
2000,"Predicted",0
2001,"Predicted",0
2002,"Predicted",0
2003,"Predicted",0
2004,"Predicted",0
2005,"Predicted",0
2006,"Predicted",0
2007,"Predicted",0
2008,"Predicted",0
2009,"Predicted",0
2010,"Predicted",0
2011,"Predicted",0
2012,"Predicted",0
2013,"Predicted",0
2014,"Predicted",0
2015,"Predicted",0
2016,"Predicted",0
2017,"Predicted",541.461323602299
