"experiment","replicate","method","lambda","lambda.low","lambda.up","real_value","covered","experiment_nice"
1,"1","Dube",0.0122187661407165,0.00994825557274326,0.0144944436607731,0.0125451922282091,"Yes","100%"
1,"1","Bhat",0.0122187661407165,0.0110590049680826,0.0133785273133504,0.0125451922282091,"Yes","100%"
1,"2","Dube",0.0136070984331457,0.0112525880641472,0.0159671656073506,0.0125451922282091,"Yes","100%"
1,"2","Bhat",0.0136070984331457,0.0124043802077753,0.0148098166585161,0.0125451922282091,"Yes","100%"
1,"3","Dube",0.0111970054256145,0.00894794058694489,0.0134511399611512,0.0125451922282091,"Yes","100%"
1,"3","Bhat",0.0111970054256145,0.0100482109069947,0.0123457999442342,0.0125451922282091,"No","100%"
0.75,"1","Dube",0.00965919265004716,0.00779553025106211,0.0115263347726086,0.00940889417115686,"Yes","75%"
0.75,"1","Bhat",0.00965919265004716,0.00870744041796824,0.0106109448821261,0.00940889417115686,"Yes","75%"
0.75,"2","Dube",0.0070200670400524,0.00547324352750933,0.00856928692281488,0.00940889417115686,"No","75%"
0.75,"2","Bhat",0.0070200670400524,0.00623024616919981,0.00780988791090498,0.00940889417115686,"No","75%"
0.75,"3","Dube",0.0110022635788835,0.00899341539156943,0.013015155361569,0.00940889417115686,"Yes","75%"
0.75,"3","Bhat",0.0110022635788835,0.00997629203528261,0.0120282351224845,0.00940889417115686,"No","75%"
0.5,"1","Dube",0.0064259114779657,0.0050444317655715,0.00780930231704265,0.00627259611410457,"Yes","50%"
0.5,"1","Bhat",0.0064259114779657,0.00572057484628739,0.00713124810964401,0.00627259611410457,"Yes","50%"
0.5,"2","Dube",0.00686889778129083,0.00539225222374343,0.00834772704589958,0.00627259611410457,"Yes","50%"
0.5,"2","Bhat",0.00686889778129083,0.00611493681716788,0.00762285874541379,0.00627259611410457,"Yes","50%"
0.5,"3","Dube",0.00584917431526592,0.00448955029694148,0.00721064942813972,0.00627259611410457,"Yes","50%"
0.5,"3","Bhat",0.00584917431526592,0.00515500404640927,0.00654334458412257,0.00627259611410457,"Yes","50%"
0.25,"1","Dube",0.00400733792870211,0.00286233456757993,0.00515365382552263,0.00313629805705229,"Yes","25%"
0.25,"1","Bhat",0.00400733792870211,0.00342280722468478,0.00459186863271945,0.00313629805705229,"No","25%"
0.25,"2","Dube",0.00368786953337902,0.00263409884721189,0.00474275182368411,0.00313629805705229,"Yes","25%"
0.25,"2","Bhat",0.00368786953337902,0.00314993817041113,0.00422580089634691,0.00313629805705229,"No","25%"
0.25,"3","Dube",0.00455411590041829,0.00341192267448859,0.00569761522367102,0.00313629805705229,"No","25%"
0.25,"3","Bhat",0.00455411590041829,0.00397102060578542,0.00513721119505116,0.00313629805705229,"No","25%"
0.1,"1","Dube",0.00141609653119295,0.000699722574745289,0.00213298404720888,0.00125451922282091,"Yes","10%"
0.1,"1","Bhat",0.00141609653119295,0.00105046194851338,0.00178173111387253,0.00125451922282091,"Yes","10%"
0.1,"2","Dube",0.00114641348946181,0.000546076619506737,0.00174711098027915,0.00125451922282091,"Yes","10%"
0.1,"2","Bhat",0.00114641348946181,0.000840021579744762,0.00145280539917886,0.00125451922282091,"Yes","10%"
0.1,"3","Dube",0.00119707926988131,0.00059146808969964,0.00180305743722741,0.00125451922282091,"Yes","10%"
0.1,"3","Bhat",0.00119707926988131,0.000887994713003694,0.00150616382675893,0.00125451922282091,"Yes","10%"
0.05,"1","Dube",0.000639181868997254,0.000165790074405587,0.00111279786952143,0.000627259611410457,"Yes","5%"
0.05,"1","Bhat",0.000639181868997254,0.000397593826612106,0.000880769911382402,0.000627259611410457,"Yes","5%"
0.05,"2","Dube",0.000259347310725362,-3.40833520968652e-05,0.000552864100374344,0.000627259611410457,"No","5%"
0.05,"2","Bhat",0.000259347310725362,0.000109613070644851,0.000409081550805874,0.000627259611410457,"No","5%"
0.05,"3","Dube",7.83238692391496e-05,-7.51763118829818e-05,0.000231847616284416,0.000627259611410457,"No","5%"
0.05,"3","Bhat",7.83238692391496e-05,-2.00498255151227e-14,0.000156647738498349,0.000627259611410457,"No","5%"
1,"1","MRT",0.0122187661407165,0.0092117090413559,0.0161995211343295,0.0125451922282091,"Yes","100%"
1,"2","MRT",0.0136070984331457,0.0104583077743134,0.0176955734054084,0.0125451922282091,"Yes","100%"
1,"3","MRT",0.0111970054256145,0.00825202916212884,0.0151850302252595,0.0125451922282091,"Yes","100%"
0.75,"1","MRT",0.00965919265004716,0.0072049094228858,0.0129441091465359,0.00940889417115686,"Yes","75%"
0.75,"2","MRT",0.0070200670400524,0.00502509288150804,0.00980317762154326,0.00940889417115686,"Yes","75%"
0.75,"3","MRT",0.0110022635788835,0.00833573574604461,0.0145156195184901,0.00940889417115686,"Yes","75%"
0.5,"1","MRT",0.0064259114779657,0.00463719447444107,0.0089015304112714,0.00627259611410457,"Yes","50%"
0.5,"2","MRT",0.00686889778129083,0.00495682138897084,0.00951504965738501,0.00627259611410457,"Yes","50%"
0.5,"3","MRT",0.00584917431526592,0.00411173166550873,0.00831773889591437,0.00627259611410457,"Yes","50%"
0.25,"1","MRT",0.00400733792870211,0.00260150137429508,0.00617054017229585,0.00313629805705229,"Yes","25%"
0.25,"2","MRT",0.00368786953337902,0.00239413607415638,0.00567872311521659,0.00313629805705229,"Yes","25%"
0.25,"3","MRT",0.00455411590041829,0.00311468276986496,0.00665656441453074,0.00313629805705229,"Yes","25%"
0.1,"1","MRT",0.00141609653119295,0.000667112442104706,0.0030047216947681,0.00125451922282091,"Yes","10%"
0.1,"2","MRT",0.00114641348946181,0.000526650072589108,0.00249460724978427,0.00125451922282091,"Yes","10%"
0.1,"3","MRT",0.00119707926988131,0.00056394680279431,0.00254011545580321,0.00125451922282091,"Yes","10%"
0.05,"1","MRT",0.000639181868997254,0.000218069829500771,0.00187273721655072,0.000627259611410457,"Yes","5%"
0.05,"2","MRT",0.000259347310725362,5.45063216035431e-05,0.00123352949427544,0.000627259611410457,"Yes","5%"
0.05,"3","MRT",7.83238692391496e-05,7.24432355007578e-06,0.000846523537543087,0.000627259611410457,"Yes","5%"
